Employee ID,Effective Date,Role,Amount,Currency,Period,Frequency,Employment Type,Work Location,BM Median,Compa Ratio,Raise
11645,1/1/2025,Tech Lead,14500,GBP,Monthly,Monthly,Full Time,London,11800,1.23,650
59701,1/1/2025,Software Engineer,29500,ILS,Monthly,Monthly,Full Time,Tel-Aviv,44000,0.67,1600
79274,1/1/2025,QA Engineer,5000,GBP,Monthly,Monthly,Full Time,London,6100,0.82,250
67153,1/1/2025,Controller,116000,USD,Annual,Monthly,Full Time,NYC,116500,1,5200
85390,1/1/2025,Financial Analyst,17500,ILS,Monthly,Monthly,Full Time,Tel-Aviv,22900,0.76,800
51452,1/1/2025,Accountant,23500,ILS,Monthly,Monthly,Full Time,Tel-Aviv,22500,1.04,1300
91304,1/1/2025,HR Manager,29000,ILS,Monthly,Monthly,Full Time,Tel-Aviv,25600,1.13,1450
59865,1/1/2025,HR Specialist,4000,GBP,Monthly,Monthly,Full Time,London,4800,0.83,100
77920,1/1/2025,Recruiter,57000,USD,Annual,Monthly,Full Time,NYC,59800,0.95,0
53299,1/1/2025,Content Manager,6000,EUR,Monthly,Monthly,Full Time,Berlin,4400,1.36,350
58195,1/1/2025,Marketing Specialist,6500,EUR,Monthly,Monthly,Full Time,Berlin,5300,1.23,150
69229,1/1/2025,SEO Analyst,80000,USD,Annual,Monthly,Full Time,NYC,75300,1.06,4400
25213,1/1/2025,UX Researcher,9500,GBP,Monthly,Monthly,Full Time,London,9200,1.03,500
44382,1/1/2025,Product Manager,104500,USD,Annual,Monthly,Full Time,NYC,94800,1.1,5750
86256,1/1/2025,Product Designer,38000,ILS,Monthly,Monthly,Full Time,Tel-Aviv,25300,1.5,1900
15448,1/1/2025,Sales Manager,7500,GBP,Monthly,Monthly,Full Time,London,7000,1.07,400
62463,1/1/2025,SDR,5000,EUR,Monthly,Monthly,Full Time,Berlin,4200,1.19,200
83819,1/1/2025,Account Executive,8000,EUR,Monthly,Monthly,Full Time,Berlin,5600,1.43,350
93190,1/1/2025,SDR,4500,EUR,Monthly,Monthly,Full Time,Berlin,4600,0.98,200
52319,1/1/2025,SDR,3500,EUR,Monthly,Monthly,Full Time,Berlin,4100,0.85,200
62064,1/1/2025,SDR,5500,EUR,Monthly,Monthly,Full Time,Berlin,4200,1.31,100
19707,1/1/2025,SDR,4000,EUR,Monthly,Monthly,Full Time,Berlin,4300,0.93,200
53790,1/1/2025,SDR,23000,ILS,Monthly,Monthly,Full Time,Tel-Aviv,18900,1.22,600
86070,1/1/2025,SDR,52000,USD,Annual,Monthly,Full Time,NYC,62100,0.84,2600
99681,1/1/2025,SDR,4500,EUR,Monthly,Monthly,Full Time,Berlin,4300,1.05,200
55531,1/1/2025,SDR,77500,USD,Annual,Monthly,Full Time,NYC,66300,1.17,1550
85881,1/1/2025,SDR,16000,ILS,Monthly,Monthly,Full Time,Tel-Aviv,18400,0.87,700
